ada,0.1100{'activity_auc': 0.8501412365785996, 'time_mean_lime': nan, 'time_mean_shap': nan, 'usage_auc': {'Tumble Dryer': 0.7791210636381677, 'Washing Machine': 0.7766473093302361, 'Dishwasher': 0.7884440104166667}, 'load_mse': {'Tumble Dryer': 24907.499024126446, 'Washing Machine': 890.3298548744691, 'Dishwasher': 314.83944538577924}}
ada,0.1500{'activity_auc': 0.8498504423898148, 'time_mean_lime': nan, 'time_mean_shap': nan, 'usage_auc': {'Tumble Dryer': 0.8094671123933386, 'Washing Machine': 0.8105303910181959, 'Dishwasher': 0.831201171875}, 'load_mse': {'Tumble Dryer': 24907.499024126446, 'Washing Machine': 890.3298548744691, 'Dishwasher': 314.83944538577924}}
ada,1.050{'activity_auc': 0.8479398545127026, 'time_mean_lime': nan, 'time_mean_shap': nan, 'usage_auc': {'Tumble Dryer': 0.8189159072522172, 'Washing Machine': 0.8221138211382114, 'Dishwasher': 0.835107421875}, 'load_mse': {'Tumble Dryer': 24907.499024126446, 'Washing Machine': 890.3298548744691, 'Dishwasher': 314.83944538577924}}
ada,1.0100{'activity_auc': 0.8487308074275696, 'time_mean_lime': nan, 'time_mean_shap': nan, 'usage_auc': {'Tumble Dryer': 0.8251438689685702, 'Washing Machine': 0.8347502903600464, 'Dishwasher': 0.8505696614583333}, 'load_mse': {'Tumble Dryer': 24907.499024126446, 'Washing Machine': 890.3298548744691, 'Dishwasher': 314.83944538577924}}
ada,1.0500{'activity_auc': 0.8457370557138425, 'time_mean_lime': nan, 'time_mean_shap': nan, 'usage_auc': {'Tumble Dryer': 0.8346537222756484, 'Washing Machine': 0.8486566008517228, 'Dishwasher': 0.8642740885416667}, 'load_mse': {'Tumble Dryer': 24907.499024126446, 'Washing Machine': 890.3298548744691, 'Dishwasher': 314.83944538577924}}
knn,301{'activity_auc': 0.7123897690772062, 'time_mean_lime': nan, 'time_mean_shap': nan, 'usage_auc': {'Tumble Dryer': 0.9334157622384027, 'Washing Machine': 0.940534262485482, 'Dishwasher': 0.965625}, 'load_mse': {'Tumble Dryer': 24907.499024126446, 'Washing Machine': 890.3298548744691, 'Dishwasher': 314.83944538577924}}
knn,305{'activity_auc': 0.8122153081609953, 'time_mean_lime': nan, 'time_mean_shap': nan, 'usage_auc': {'Tumble Dryer': 0.8003846682236571, 'Washing Machine': 0.8114208284939992, 'Dishwasher': 0.8434163411458333}, 'load_mse': {'Tumble Dryer': 24907.499024126446, 'Washing Machine': 890.3298548744691, 'Dishwasher': 314.83944538577924}}
knn,3010{'activity_auc': 0.8301841092576142, 'time_mean_lime': nan, 'time_mean_shap': nan, 'usage_auc': {'Tumble Dryer': 0.7597121094167392, 'Washing Machine': 0.7580332946186605, 'Dishwasher': 0.7845214843749999}, 'load_mse': {'Tumble Dryer': 24907.499024126446, 'Washing Machine': 890.3298548744691, 'Dishwasher': 314.83944538577924}}
knn,601{'activity_auc': 0.7123897690772062, 'time_mean_lime': nan, 'time_mean_shap': nan, 'usage_auc': {'Tumble Dryer': 0.937628795164171, 'Washing Machine': 0.9343476577622919, 'Dishwasher': 0.9625}, 'load_mse': {'Tumble Dryer': 24907.499024126446, 'Washing Machine': 890.3298548744691, 'Dishwasher': 314.83944538577924}}
knn,605{'activity_auc': 0.8122326468928525, 'time_mean_lime': nan, 'time_mean_shap': nan, 'usage_auc': {'Tumble Dryer': 0.8073605959304544, 'Washing Machine': 0.8113588850174216, 'Dishwasher': 0.8321695963541667}, 'load_mse': {'Tumble Dryer': 24907.499024126446, 'Washing Machine': 890.3298548744691, 'Dishwasher': 314.83944538577924}}
knn,6010{'activity_auc': 0.830145350563163, 'time_mean_lime': nan, 'time_mean_shap': nan, 'usage_auc': {'Tumble Dryer': 0.7590480987925692, 'Washing Machine': 0.7596825396825396, 'Dishwasher': 0.7748128255208333}, 'load_mse': {'Tumble Dryer': 24907.499024126446, 'Washing Machine': 890.3298548744691, 'Dishwasher': 314.83944538577924}}
knn,901{'activity_auc': 0.7123897690772062, 'time_mean_lime': nan, 'time_mean_shap': nan, 'usage_auc': {'Tumble Dryer': 0.9392392117354338, 'Washing Machine': 0.9399303135888502, 'Dishwasher': 0.9526041666666666}, 'load_mse': {'Tumble Dryer': 24907.499024126446, 'Washing Machine': 890.3298548744691, 'Dishwasher': 314.83944538577924}}
knn,905{'activity_auc': 0.8122636330523332, 'time_mean_lime': nan, 'time_mean_shap': nan, 'usage_auc': {'Tumble Dryer': 0.806093633130314, 'Washing Machine': 0.8107471931862176, 'Dishwasher': 0.8310872395833334}, 'load_mse': {'Tumble Dryer': 24907.499024126446, 'Washing Machine': 890.3298548744691, 'Dishwasher': 314.83944538577924}}
knn,9010{'activity_auc': 0.830145350563163, 'time_mean_lime': nan, 'time_mean_shap': nan, 'usage_auc': {'Tumble Dryer': 0.757620857565905, 'Washing Machine': 0.7640650406504065, 'Dishwasher': 0.7750162760416667}, 'load_mse': {'Tumble Dryer': 24907.499024126446, 'Washing Machine': 890.3298548744691, 'Dishwasher': 314.83944538577924}}
xgboost,0.0160.0{'activity_auc': 0.8501627605215949, 'time_mean_lime': nan, 'time_mean_shap': nan, 'usage_auc': {'Tumble Dryer': 0.8435696712144934, 'Washing Machine': 0.8322130886961261, 'Dishwasher': 0.8440562555682831}, 'load_mse': {'Tumble Dryer': 24907.499024126446, 'Washing Machine': 890.3298548744691, 'Dishwasher': 314.83944538577924}}
xgboost,0.0160.5{'activity_auc': 0.8500326290498156, 'time_mean_lime': nan, 'time_mean_shap': nan, 'usage_auc': {'Tumble Dryer': 0.8558040706777008, 'Washing Machine': 0.8399336936282302, 'Dishwasher': 0.8473415425735014}, 'load_mse': {'Tumble Dryer': 24907.499024126446, 'Washing Machine': 890.3298548744691, 'Dishwasher': 314.83944538577924}}
xgboost,0.0161.0{'activity_auc': 0.8501520765353979, 'time_mean_lime': nan, 'time_mean_shap': nan, 'usage_auc': {'Tumble Dryer': 0.8719898605830164, 'Washing Machine': 0.8470714685801657, 'Dishwasher': 0.8493063510245641}, 'load_mse': {'Tumble Dryer': 24907.499024126446, 'Washing Machine': 890.3298548744691, 'Dishwasher': 314.83944538577924}}
xgboost,0.01120.0{'activity_auc': 0.8410307467965978, 'time_mean_lime': nan, 'time_mean_shap': nan, 'usage_auc': {'Tumble Dryer': 0.8440468202490122, 'Washing Machine': 0.8492286964288418, 'Dishwasher': 0.8672362224767722}, 'load_mse': {'Tumble Dryer': 24907.499024126446, 'Washing Machine': 890.3298548744691, 'Dishwasher': 314.83944538577924}}
